OBJECTID,MemorialHighwayName,Highway,Law,Description,LawWebLink,Biographies,GlobalID
45,Clara Barton Memorial Highway,"M-125,US-24",250.1013,"The portion of M-125 beginning at the border between Michigan and Ohio in Monroe County and extending north to the intersection with US-24 and the portion of US-24 beginning at the intersection of M-125 and extending north to I-96 in Wayne County shall be known as the ""Clara Barton Memorial Highway"".",250-1013,"Miss Barton was born at North Oxford, Massachusetts in 1821. In 1881 she founded the American Red Cross with headquarters at Dansville, New York. In September of the same year, the first major disaster in which the American Red Cross gave a helping hand was a devastating forest fire in Lapeer, Tuscola and Huron counties in which 125 lives were lost and thousands made homeless without food or shelter. Miss Barton and her little band of earnest assistants gathered blankets, clothing and other necessities for the suffering refugees. Clara Barton died in 1912 at the age of 91.",{B4E48232-9465-4060-965B-F4493FAD4F32}
46,Matt McNeely Boulevard,M-85,250.1052,"The portion of highway M-85 located in the city of Detroit between Outer Drive and highway I-75 shall also be known as ""Matt McNeely Boulevard"".",250-1052,"Former Representative Matthew McNeely served in the Michigan House of Representatives from 1964 to 1986. He represented the Third District of the State House, which encompassed a portion of the City of Detroit. During his tenure in the House, McNeely served 18 years as Speaker Pro-Tem, being the first African-American to do so, and four years as Associate Speaker. In addition to serving as an elected official, McNeely has volunteered to work for various nonprofit organizations, such as the Neighborhood Foundation, which works with the Detroit Public Schools on crime and drug prevention. ",{C7BC6B0C-CB3B-4DE9-B16C-9CFEEA637FA7}
47,Pere Marquette Memorial Highway,US-31,250.1014,"The part of highway US-31 beginning at the county line of Muskegon and Oceana counties and extending north to the county line of Mason and Manistee counties shall be known as the ""Pere Marquette Memorial Highway"".",250-1014,"Father Jacques Marquette, also known as Pere Marquette, was a French Jesuit missionary who founded Michigan’s first European settlement, Sault Ste. Marie, and later founded St. Ignace, Michigan.",{8AF281DE-4663-430B-9D84-39DCFB0BF79F}
48,POW/MIA Memorial Freeway,M-53,250.1086,"The part of M-53 located between 27 Mile Road and 34 Mile Road in Macomb County shall be known as the ""POW/MIA Memorial Freeway"".",250-1086,Named in honor of American prisoners of war and those who were and are missing in action.,{D9350EF5-2CF1-4F10-AD53-8F03CBA8B849}
49,PFC Shane Cantu Veterans Memorial Highway,M-71,250.2079a,"The portion of highway M-71 between the eastern city limit of the city of Owosso and the western city limit of the city of Corunna shall be known as the ""PFC Shane Cantu Veterans Memorial Highway"".",250-2079a,"A native of Corunna, Michigan, U.S. Army PFC Shane Cantu was killed at the age of 20 during his first tour of duty in Afghanistan on August 28, 2012, after insurgents threw an explosive over a base wall. PFC Cantu graduated from Corunna High School in 2010 and attended Adrian College, where he played football, before joining the U.S. Army.",{2F4B4108-590C-4A06-A051-851F83E1CEC6}
50,Sergeant Joe Johnson Memorial Highway,US-23,250.1011a,"The portion of highway US-23 in Genesee County beginning at the intersection of highway US-23 and Thompson Road and extending north to the intersection of highway US-23 and Bristol Road shall be known as the ""Sergeant Joe Johnson Memorial Highway.""",250-1011a,"United States Army Specialist Joseph Johnson was killed at the age of 24 in Afghanistan on June 16, 2010. His family was presented with the Purple Heart, Bronze Star, and Combat Action Medal for his service. Sergeant Johnson was a Flint area native and enlisted in the Army in 2006 after graduating from Carman-Ainsworth High School in 2004.",{A48078F1-A59F-4E28-A94E-718D6A5147B7}
51,Trooper Jeffrey Werda Memorial Highway,M-61,250.107,"The portion of highway M-61 from the eastern city limit of the city of Gladwin to the intersection of highway M-61 and highway M-30 in Gladwin county shall be known as the ""Trooper Jeffrey Werda Memorial Highway"".",250-107,"Michigan State Police Trooper Jeffrey Werda was killed in a single patrol car accident while responding to a call to assist Saginaw County sheriff’s deputies in a pursuit on April 6, 2011. The 10-year state police veteran graduatedf from Kearsley High School was married and a father of three.",{7CC5D8AF-12AD-485B-A829-FAF71A5D84A8}
52,Gerald R. Ford Freeway,I-196,250.1026,"Highway I-196 in Kent, Ottawa, and Allegan counties shall be known as the ""Gerald R. Ford Freeway"".",250-1026,"Gerald Ford was born on July 14, 1913, in Omaha, Nebraska. A star college football player, he served in the Navy during WWII. Elected to the House of Representatives in 1948, Ford represented Michigan's 5th District for nearly 25 years before suddenly finding himself at the crossroads of history. He was elevated to vice president, and then became the 38th U.S. president due to Richard Nixon's involvement in the Watergate scandal and subsequent resignation. Ford was defeated by Jimmy Carter in the 1976 election. He died in California in 2006.",{655FAAA1-1B35-4FA0-AFB8-02ACE5EC0504}
53,"Graham Barlow Jr., WWII Memorial Highway",M-71,250.1076,"The portion of highway M-71 that is within the village limits of the village of Vernon shall be known as the ""Graham Barlow Jr., WWII Memorial Highway"".",250-1076,"Graham Barlow Jr. was a soldier from the Village of Vernon killed in Italy during World War II. Prior to being killed in action at the age of 19, he was awarded the Purple Heart. . According to local residents and news reports, Graham Barlow Jr. is believed to be the only person from the village of Vernon who was killed in World War II. Graham Barlow Jr. acted selflessly and fought bravely to preserve the peace and safety of the United States of America.  ",{D36D3669-244F-4384-9E06-3931F11B8C11}
54,D. H. Day Highway,M-109,250.1058,"Highway M-109 located in Leelanau County shall be known as the ""D. H. Day Highway"".",250-1058,"David H. Day born in Ogdensburg, New York July 10, 1854. Mr. Day was responsible for the development of the Leelanau region. He was president of the Western Michigan Development Bureau for 19 years, out of which finally grew the Michigan Tourist and Resort Association, and in 1920 became the first State Park Commissioner.  Mr. Day died in the Spring of 1928.",{05C42908-4F83-4399-A0C6-74D0A2882497}
55,Brian Derks Memorial Highway,M-37,250.1024a,"The portion of highway M-37 in Newaygo County beginning at the southern city limit of the city of White Cloud and continuing north to the intersection of highway M-37 and 3 Mile Road shall be known as the ""Brian Derks Memorial Highway.""",250-1024a,"Brian K. Derks was a United States Marine who died in an explosion on August 13, 2005, in Iraq, where he served as a specialist 4th Class in the Fox Group Second Squadron of the 11th Armored Cavalry Regiment. Mr. Derks was a White Cloud native who graduated high school in 2003 and enlisted in the military shortly thereafter. He was an Eagle Scout, football player, baseball player, and avid Quiz Bowl participant who helped propel the team to nationals.",{0EAB0E07-FF69-4419-A5F1-C15A7A8ADA9A}
56,Christopher Columbus Freeway,M-53,250.1031,"The portion of highway M-53 beginning at the northern city limit of the city of Sterling Heights and extending north to the village of Washington in Macomb County shall be known as the ""Christopher Columbus Freeway"".",250-1031,"Christopher Columbus (c. 1451 to May 20, 1506) was an Italian explorer and navigator. In 1492, he sailed across the Atlantic from Spain in the Santa Maria, with the Pinta and the Niña ships alongside, hoping to find a new route to India. Between 1492 and 1504, he made a total of four voyages to the Caribbean and South America and has been credited for opening up the Americas to European colonization.",{0218FD65-D745-474D-BF11-DF9CF1D234EA}
57,Veteran's Memorial Highway,M-18  ,250.1005a[1],"The portion of highway M-18 in Gladwin County between the northern city limit of the city of Beaverton and the southern city limit of the city of Gladwin shall be known as the ""Veterans Memorial Highway"".",250-1005a[1],"Title 38 of the Code of Federal Regulations defines a veteran as “a person who served in the active military, naval, or air service and who was discharged or released under conditions other than dishonorable.” This definition explains that any individual that completed a service for any branch of armed forces classifies as a veteran as long as they were not dishonorably discharged.",{933A4F26-9377-44EC-8EB1-8222886B041E}
58,PFC Harold R. Cooley WWII Marine Corps League Memorial Highway,M-21,250.2079,"The portion of highway M-21 in Shiawassee County beginning at the intersection of M-21 and Meridian Road and continuing east to the intersection of M-21 and M-13 shall be known as the ""PFC Harold R. Cooley WWII Marine Corps League Memorial Highway"".",250-2079,The Harold R. Cooley Detachment of the Marine Corps League is based in Shiawassee County and honors an Owosso marine killed in the reconquest of Guam in 1944.),{9806CE84-9068-4A05-9244-1C2699844470}
59,Auxiliary Lieutenant Dan Kromer Memorial Highway,I-94,250.207,"The portion of highway I-94 beginning at the intersection of highway I-94 and Inkster road in the city of Taylor and extending east to Pelham road shall be known as the ""Auxiliary Lieutenant Dan Kromer Memorial Highway"".",250-207,"Auxiliary Lieutenant Danny Kromer was struck and killed by a hit-and-run driver on I-94 as he assisted a disabled motorist. He was standing next to the disabled vehicle when an approaching car side-swiped it and struck him. He was transported to a local hospital where he died the following morning of September 7, 2010.  The driver of the vehicle who struck him was apprehended and was convicted of second-degree murder and sentenced to 67 years in prison. Auxiliary Lieutenant Kromer served with the Taylor Police Department for 19 years and was survived by his wife Joyce. ",{85C4C9B2-8D9C-4C8D-88B7-2269D98F0198}
